Bibliotecas,\begin{rotate}{60} MovingPandas \end{rotate},\begin{rotate}{60} Scikit-Mobility \end{rotate},\begin{rotate}{60} Trackintel \end{rotate},\begin{rotate}{60} Traja \end{rotate},\begin{rotate}{60} PyMove \end{rotate},\begin{rotate}{60} Yupi \end{rotate},\begin{rotate}{60} Tracktable \end{rotate},\begin{rotate}{60} Mobilkit \end{rotate},\begin{rotate}{60} PTRAIL \end{rotate},\begin{rotate}{60} Teetool \end{rotate},\begin{rotate}{60} MobVis \end{rotate},\begin{rotate}{60} MOCHA \end{rotate},\begin{rotate}{60} SMAFramework \end{rotate},\begin{rotate}{60} Mobilipy \end{rotate},\begin{rotate}{60} Mobipy \end{rotate}
Imagens,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-
Gráficos,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-
Mapas Interativos,+,+,-,-,+,-,-,-,+,-,+,-,+,+,-
